pass_id,snr_mean,snr_min,snr_max,snr_std,snr_p10,snr_p25,snr_p50,snr_p75,snr_p90,fade_count,outage_time_s,snr_slope
TS_PASS_00000,11.980587499999999,7.394,16.044,1.8020725893658527,9.6831,10.75075,11.936499999999999,13.15025,14.6271,0,0,0.009688607570408589
TS_PASS_00001,6.0397169811320754,1.59,9.775,1.7165348418533621,4.0468,4.979,5.789,7.078,8.795200000000001,0,0,0.017942307623298816
TS_PASS_00002,12.137211009174312,7.857,15.675,1.6983540983989536,9.9326,11.211,12.077,13.39,14.088799999999999,0,0,0.0017055555523971182
TS_PASS_00003,-2.780263157894737,-5.281,0.76,1.4353338449773265,-4.6129,-3.8055,-2.6145,-1.68425,-1.2705999999999988,37,130,0.0038864864654784507
TS_PASS_00004,5.992491525423728,2.701,10.364,1.4157830722096165,4.227,5.0024999999999995,5.899,6.8420000000000005,7.9366,0,0,0.00689310342450654
TS_PASS_00005,-4.309348484848485,-10.003,-0.176,1.7989635946627567,-6.550000000000001,-5.3975,-4.307,-3.1215,-2.1550000000000002,66,300,0.004999999984615385
TS_PASS_00006,17.345894736842105,13.479,21.077,1.7115051592011927,15.1845,16.14625,17.2175,18.5975,19.8395,0,0,-0.008277333311260448
TS_PASS_00007,12.368439560439558,7.013,16.785,1.704273434239574,10.49,11.2675,12.166,13.575,14.373,0,0,-0.0027755555493876555
TS_PASS_00008,-5.634694915254237,-9.989,-0.804,1.8334123529844126,-7.7914,-6.698,-5.676,-4.6515,-2.9765999999999995,59,285,0.010637930997800239
TS_PASS_00009,22.272299999999998,17.69,27.389,1.6886416069334151,20.2231,21.027,22.115499999999997,23.4105,24.525499999999997,0,0,0.0022067226853668565
TS_PASS_00010,9.07841836734694,5.69,13.066,1.6838700682063972,6.8071,7.95475,8.9275,10.321,11.349,0,0,-0.006408247409467531
TS_PASS_00011,11.796543689320389,7.62,16.485,1.708747601196882,9.6304,10.737,11.715,12.747,13.9462,0,0,-0.0036294117575893904
TS_PASS_00012,18.835299999999997,12.977,21.944,1.675020045509051,16.6277,17.545,19.034,19.891,21.029,0,0,-0.0014086956480907392
TS_PASS_00013,16.800463768115947,13.467,20.775,1.5480209673495762,14.554,15.867,16.838,17.874,18.8162,0,0,0.0023705882283218023
TS_PASS_00014,-0.752855855855856,-6.496,2.79,1.7029805236429307,-2.942,-1.8275000000000001,-0.815,0.425,1.353,74,130,0.0041254545379537195
TS_PASS_00015,-4.9404324324324325,-11.534,-1.856,2.073990363820046,-7.2172,-6.541,-4.509,-3.382,-2.3718000000000004,37,180,0.010883333272870369
TS_PASS_00016,16.308029411764704,11.507,20.065,1.6183305847347413,14.5325,15.2375,16.335,17.122,18.523500000000002,0,0,-0.0015731343236622887
TS_PASS_00017,9.455883116883117,6.257,12.281,1.5261156870415955,7.3394,8.224,9.493,10.618,11.650400000000001,0,0,-0.0029499999922368435
TS_PASS_00018,1.3028190476190475,-3.565,5.299,1.7521731637676865,-1.0012,0.135,1.349,2.257,3.5198000000000005,24,10,-0.0037576923004659767
TS_PASS_00019,18.120797101449277,15.042,22.302,1.6600132842118203,16.025000000000002,16.76,18.22,19.07,20.2942,0,0,0.0007647058801038109
TS_PASS_00020,-3.912083333333334,-9.158,-0.228,1.9619089623091301,-6.4504,-5.0184999999999995,-3.638,-2.6544999999999996,-1.4160999999999997,60,250,-0.010691525387486354
TS_PASS_00021,-1.3159333333333332,-7.325,3.68,1.954249900999244,-3.7106,-2.357,-1.375,-0.2455,1.1194000000000017,59,130,-0.004194594583257853
TS_PASS_00022,-8.004602409638554,-12.575,-4.619,1.6774397943320205,-9.987,-9.254999999999999,-7.846,-6.5015,-5.9096,83,415,0.0007073170714455703
TS_PASS_00023,-6.10813953488372,-9.973,-2.709,1.6449666439170687,-8.0225,-7.39275,-5.909000000000001,-4.97725,-4.009,86,430,0.0060164705740788915
TS_PASS_00024,18.475682692307693,14.376,22.608,1.845496343828689,16.186700000000002,17.19375,18.4745,19.8445,20.7946,0,0,0.0031300970813007826
TS_PASS_00025,-9.653920454545455,-15.394,-5.856,1.8747830493976854,-11.966099999999999,-10.8255,-9.418,-8.535,-7.185500000000001,88,440,0.00432873562223279
TS_PASS_00026,4.649578947368421,0.942,8.755,1.6810700847175366,2.475,3.416,4.816,5.787,6.488199999999999,0,0,-0.008878571396862246
TS_PASS_00027,17.16196774193548,12.721,20.764,1.6237104855530438,15.1378,16.22,17.2915,18.201,19.1825,0,0,-0.006521311454028489
TS_PASS_00028,27.20553488372093,24.28,31.822,1.6608441724202172,25.2455,26.0955,27.043,28.191750000000003,29.0205,0,0,0.0017152941136110709
TS_PASS_00029,0.8178611111111111,-12.968,5.053,2.5304345218951556,-1.1020999999999999,-0.04725,0.812,2.0245,3.5226999999999995,19,20,-0.005039436605522714
TS_PASS_00030,3.7204415584415584,-0.276,7.471,1.5336381707535764,1.8803999999999998,2.828,3.752,4.86,5.6226,1,0,0.006005263142091412
TS_PASS_00031,17.795220930232553,14.585,21.74,1.6274069644480504,15.5805,16.56425,17.92,18.7685,19.768,0,0,0.00419764704894671
TS_PASS_00032,3.3306495726495724,-0.311,7.151,1.4971664080084914,1.3136,2.465,3.268,4.174,5.3588,2,0,0.0010603448257580262
TS_PASS_00033,4.049250000000001,0.022,8.929,1.7195452676507241,1.8166,2.98625,4.062,5.05075,6.3045,0,0,-0.005545454534251607
TS_PASS_00034,-0.8579646017699115,-5.96,3.375,1.7483932696323325,-3.1633999999999998,-1.697,-0.649,-0.006,1.3295999999999997,85,125,-0.003942857135816327
TS_PASS_00035,11.12008695652174,6.242,15.782,1.8088534361047963,8.8825,9.981250000000001,11.2395,12.3845,13.0908,0,0,-0.004832967022345127
TS_PASS_00036,27.83630612244898,24.54,30.998,1.4672606324139905,25.8384,26.895,27.871499999999997,28.855,29.652,0,0,-0.0006061855657604431
TS_PASS_00037,11.589725663716813,5.56,16.581,1.8947355163589439,9.511,10.2,11.646,12.921,13.8582,0,0,0.002428571424234696
TS_PASS_00038,19.598638554216862,16.177,22.706,1.652929896532494,17.256,18.291,19.772,20.967,21.6956,0,0,0.008285365833450324
TS_PASS_00039,10.260296296296296,5.572,15.18,1.7301472244815888,8.07,9.11,10.305,11.477,12.359,0,0,-7.499999981250285e-06
TS_PASS_00040,16.140897959183672,12.044,19.168,1.3979122953554843,14.807,15.11,16.059,17.23,17.8654,0,0,-0.00016666666597222606
TS_PASS_00041,10.333810810810812,6.096,13.824,1.5074392074665732,8.700000000000001,9.388,10.1,11.407,12.2982,0,0,-0.02551111096938272
TS_PASS_00042,3.0203846153846152,-1.285,6.33,1.6121600196612256,1.055,2.1895,3.144,4.3004999999999995,4.841600000000001,1,0,-0.000826315785124654
TS_PASS_00043,10.728666666666665,7.618,14.032,1.3919352757818202,8.8766,9.8255,10.684,11.58,12.374200000000002,0,0,-0.004963157868614957
TS_PASS_00044,12.277267326732673,8.46,15.687,1.640462974321754,9.955,11.122,12.385,13.478,14.167,0,0,-0.002081999995835997
TS_PASS_00045,18.227516483516485,14.55,22.814,1.6533189155578791,16.026,17.0095,18.309,19.426499999999997,20.149,0,0,-0.00299777777111605
TS_PASS_00046,14.594025210084032,10.633,18.875,1.674442054130797,12.2774,13.676,14.666,15.6995,16.6886,0,0,-0.0022661016910744064
TS_PASS_00047,10.562348837209303,6.32,13.642,1.8877665391195961,7.9244,9.404,10.659,12.2775,12.901,0,0,-0.005123809499410433
TS_PASS_00048,3.4823333333333335,-0.578,7.087,1.655947791715937,1.4629,2.1782500000000002,3.641,4.676500000000001,5.7629,1,0,-0.0009483146046105283
TS_PASS_00049,22.475745762711863,17.727,27.236,1.868832814327107,20.409000000000002,21.0595,22.538,23.644,25.0642,0,0,-0.0011620689615101062
TS_PASS_00050,0.8374651162790697,-3.202,4.702,1.950766484408142,-1.7218,-0.474,0.782,2.275,3.2932000000000006,14,15,-0.02811904748514739
TS_PASS_00051,11.87273913043478,7.438,16.913,1.858829833346338,9.6566,10.619499999999999,11.988,13.0885,14.1582,0,0,-0.005266666657426902
TS_PASS_00052,8.184354166666667,4.164,10.931,1.4791881992270755,6.201700000000001,7.077,8.468,9.348749999999999,9.7599,0,0,-0.004280851045613401
TS_PASS_00053,7.0141727272727294,1.417,10.403,1.7822838711714857,4.5976,6.02375,7.282,8.07125,9.1101,0,0,-0.005121100908034678
TS_PASS_00054,20.74105263157895,15.761,24.232,1.9339994686137683,18.0895,20.0175,20.957,21.98225,22.652000000000005,0,0,0.008897297249203804
TS_PASS_00055,7.318615384615385,2.426,11.181,1.7344328901291062,5.0516,6.183,7.506,8.499,9.446000000000002,0,0,-0.0011068965498156962
TS_PASS_00056,-12.140723684210528,-15.157,-8.999,1.3868157165046557,-13.937999999999999,-13.30725,-11.9695,-11.12025,-10.52,76,380,-0.0023999999936000008
TS_PASS_00057,20.276958333333333,16.61,23.737,1.3761554230042072,18.706,19.487000000000002,20.3625,21.155749999999998,22.0714,0,0,0.005782978698795828
TS_PASS_00058,12.471550847457625,7.704,17.292,1.7278019130688467,10.4267,11.365499999999999,12.254,13.553749999999999,14.6703,0,0,-0.004586324778484917
TS_PASS_00059,23.306164948453606,18.376,27.356,1.7983065211264815,20.927200000000003,22.145,23.557,24.567,25.506,0,0,0.0009708333313107662
TS_PASS_00060,-2.083144329896907,-16.041,1.539,2.2524736276117436,-4.4916,-3.039,-1.92,-0.717,0.3766000000000002,82,235,0.0012499999973958336
TS_PASS_00061,-3.775273972602739,-8.004,-0.466,1.4942684494131622,-5.565,-4.589,-3.909,-2.804,-1.7476000000000005,73,320,-0.00671666664800926
TS_PASS_00062,-5.7179166666666665,-9.546,-1.966,1.771836012210686,-7.9595,-6.8295,-5.5595,-4.70725,-3.7824999999999998,36,170,0.01103999993691429
TS_PASS_00063,10.55587912087912,5.977,14.27,1.588186731866989,8.907,9.5435,10.429,11.6715,12.625,0,0,0.007117777761960493
TS_PASS_00064,12.08075,9.166,16.175,1.579384321360328,10.0386,10.9085,12.029,13.1295,13.6959,0,0,-0.005083582074377365
TS_PASS_00065,-3.8445454545454543,-7.712,0.196,1.8397864680266252,-6.1068,-5.2085,-3.755,-2.865,-1.5269999999999997,52,220,0.001588888883004113
TS_PASS_00066,-5.979117647058825,-9.479,-2.374,1.637791830568469,-7.9938,-7.314,-5.951,-4.715,-3.9629999999999996,85,425,0.0035285714201700705
TS_PASS_00067,16.555666666666667,12.216,20.77,1.8159331954591198,14.3366,15.120000000000001,16.6515,17.70525,18.9441,0,0,0.00412897195489912
TS_PASS_00068,-0.9764578313253013,-5.472,3.083,1.6682257171625565,-3.2285999999999997,-2.0135,-0.839,0.255,0.8601999999999999,59,105,-0.003856097551570494
TS_PASS_00069,2.6696842105263157,-1.472,6.992,1.5027460029558606,0.7776000000000001,1.637,2.783,3.476,4.518199999999999,1,0,-0.010599999962142857
TS_PASS_00070,8.410448979591836,4.129,12.014,1.8132350451691504,6.0732,7.1785,8.3865,9.993,10.7063,0,0,-0.000515463916462961
TS_PASS_00071,1.336231707317073,-3.962,5.194,1.7708207363982558,-0.7083,0.1555,1.3765,2.38525,3.6407000000000003,16,15,-0.0016172839466239903
TS_PASS_00072,-2.473216666666667,-7.41,2.812,1.5628650410028655,-4.2775,-3.36275,-2.6045,-1.448,-0.5252999999999998,116,380,0.0023260504162587394
TS_PASS_00073,29.292564102564107,24.751,33.089,1.7675605256122988,26.8836,28.114,29.488,30.44,31.645,0,0,0.006218965506519024
TS_PASS_00074,10.81478947368421,5.65,13.557,1.5867181040259115,8.7852,9.994,10.922,11.859,12.7044,0,0,0.005278571409719387
TS_PASS_00075,16.390264705882355,12.607,20.17,1.5445465222331636,14.3813,15.37725,16.563499999999998,17.435000000000002,18.349700000000002,0,0,-0.005071641775905546
TS_PASS_00076,0.846215053763441,-2.893,4.439,1.5519854079339954,-0.9845999999999999,-0.307,0.711,1.946,2.8495999999999997,31,10,-0.001641304344258034
TS_PASS_00077,20.176830508474577,17.228,24.234,1.5986234454758774,18.3432,18.9115,20.057,21.356,22.056800000000003,0,0,0.006662068942544585
TS_PASS_00078,12.80271641791045,7.249,15.718,1.4932741828789646,11.3326,11.875,12.62,13.887,14.681,0,0,0.0055393939226078956
TS_PASS_00079,16.850209302325585,13.433,20.011,1.404735670875395,15.3006,15.753499999999999,16.889,17.655,18.709000000000003,0,0,0.012271428512993206
TS_PASS_00080,12.636925,8.224,17.528,1.8256933530511086,10.3733,11.56875,12.6555,13.86625,15.0083,0,0,-0.00425063290063131
TS_PASS_00081,22.536926829268292,18.09,26.283,1.5701925218334387,20.6649,21.697249999999997,22.48,23.58875,24.5759,0,0,0.01006913577760707
TS_PASS_00082,12.057625,9.236,15.225,1.626049502436811,9.9775,10.98,11.845500000000001,13.284,14.557500000000001,0,0,-0.003356363624158678
TS_PASS_00083,0.876859649122807,-4.087,4.664,1.750912167670932,-1.406,-0.34199999999999997,0.9275,1.8795,3.246600000000001,33,30,0.0045185840627989665
TS_PASS_00084,-9.024098039215689,-13.862,-3.698,1.7743065616465599,-10.956999999999999,-10.2535,-9.101500000000001,-8.182500000000001,-6.6392,102,510,-0.0018217821746103321
TS_PASS_00085,2.390184210526316,-0.399,5.961,1.3834374970238972,0.753,1.4705000000000001,2.2504999999999997,3.11475,4.224500000000001,3,0,0.0019413333281564445
TS_PASS_00086,18.080898305084744,13.572,25.002,2.120078226050491,15.8254,16.3975,17.928,19.092,20.509400000000003,0,0,-0.0017931034420927393
TS_PASS_00087,10.68833734939759,5.296,14.853,1.7887539331007312,8.4838,9.7675,10.633,11.7705,12.7594,0,0,-0.007685365834913739
TS_PASS_00088,24.15857142857143,20.215,29.232,1.831778028282346,21.6154,22.86225,24.1715,25.507,26.2628,0,0,0.0006306306294943618
TS_PASS_00089,17.48603174603175,13.291,20.652,1.4680148021425568,15.673,16.5755,17.465,18.466,19.397000000000002,0,0,-0.002880645151997921
TS_PASS_00090,13.646666666666667,10.012,16.82,1.4770380675498695,11.5582,12.7595,13.694,14.728,15.457600000000001,0,0,0.013431578876675898
TS_PASS_00091,-7.75287610619469,-11.12,-3.64,1.5577836714227076,-9.526200000000001,-8.863,-7.865,-6.814,-5.9606,113,565,-0.0014107142831951516
TS_PASS_00092,3.353541666666666,-0.806,6.816,1.686246904597274,1.1951,2.6174999999999997,3.529,4.34425,5.142800000000003,3,0,0.006829787204979629
