pass_id,pass_duration_s,max_elevation_deg,tx_freq_hz,tx_power_dbm,modem_bandwidth_hz,recent_mean_snr_db,rain_rate_mmhr_at_GS,battery_voltage_v,pa_temperature_C,payload_size_bytes,max_bytes_transferable,can_send_all,recommended_compression_ratio
TS_PASS_00000,399,70.29666258396286,437000000.0,12.174459741191452,125000,2.092405078511165,0.0,7.796483942212585,69.65944526973601,1000000000,13755507,0,0.0138
TS_PASS_00001,262,41.7400910964996,437000000.0,13.002364711494417,500000,6.197459775568558,0.2,7.063685163057491,79.58850890122568,10000000,20970081,1,1.0
TS_PASS_00002,543,53.32688581760777,437000000.0,12.00097476135312,250000,8.136963154759718,0.0,7.249892058966886,66.32044443740646,10000000,37926660,1,1.0
TS_PASS_00003,189,39.60965029505191,2200000000.0,16.523448817883928,125000,11.716810286780253,2.0,7.4049150358978,24.79812070572069,100000000,1007864,0,0.0101
TS_PASS_00004,291,20.06223172232429,2200000000.0,26.415023788562756,250000,10.17491684829908,0.5,7.662006506028372,36.37934780973269,100000000,11581416,0,0.1158
TS_PASS_00005,328,35.91005441092231,2200000000.0,13.681874071806769,125000,15.826934911610422,1.0,7.964051818357872,50.05189286851343,10000000,999761,0,0.1
TS_PASS_00006,380,18.930171501814016,437000000.0,25.481603394428518,500000,7.895879778100175,0.0,7.461815266376158,31.27533179765074,5000000000,74263268,0,0.0149
TS_PASS_00007,454,38.39571832992129,437000000.0,16.434783192196484,250000,14.522638348365309,1.0,7.6305365766539275,24.032418310861043,1000000000,24162743,0,0.0242
TS_PASS_00008,292,28.244889799575738,2200000000.0,16.99121610017518,125000,1.0086652542090784,1.0,7.31262168943724,75.81011217277319,1000000000,922171,0,0.0009
TS_PASS_00009,598,21.59588510353579,437000000.0,25.810806252850334,500000,13.606065089643884,0.0,7.13834870238352,42.01827069647817,10000000,150009244,1,1.0
TS_PASS_00010,487,18.265864954279614,437000000.0,24.724991226599975,500000,2.460771212319772,10.0,7.409174094775678,36.161871607432445,100000000,52829127,0,0.5283
TS_PASS_00011,511,27.08486049379461,437000000.0,15.958885655588269,250000,8.885017866051333,0.2,7.452630250119691,28.44963647704495,10000000,34914706,1,1.0
TS_PASS_00012,347,71.93032682853,437000000.0,14.615850779532488,125000,4.332687577838756,0.2,7.825332764807635,35.68435832529286,100000000,13903041,0,0.139
TS_PASS_00013,345,17.264178878212203,437000000.0,22.71754292051562,250000,5.972639544869171,0.2,7.513360740004445,60.98329059671089,1000000000,32676756,0,0.0327
TS_PASS_00014,552,36.02556061117383,2200000000.0,22.950057285591633,250000,3.8592099579136034,0.2,7.52498106345284,50.25635284713395,5000000000,8497663,0,0.0017
TS_PASS_00015,184,54.667084934504885,2200000000.0,12.840669781301909,500000,1.3061893804067646,0.0,7.519821835611232,42.75320398209948,10000000,2681193,0,0.2681
TS_PASS_00016,338,37.53519832633461,437000000.0,19.140379594433938,125000,2.1897812019671044,0.0,7.146685754966122,62.42847488056477,100000000,11732671,0,0.1173
TS_PASS_00017,384,38.53847092466915,437000000.0,12.836515897527356,250000,15.828436949779444,0.0,6.792548739467668,45.39153412345232,100000000,16100762,0,0.161
TS_PASS_00018,523,29.486646563447746,2200000000.0,16.16228058548939,500000,15.37037437375497,2.0,7.642542689104452,71.79652342049725,10000000,22339563,1,1.0
TS_PASS_00019,341,19.70581010571138,437000000.0,26.895251569125083,125000,2.7366667353800738,0.0,7.381159197223561,40.90015710808159,100000000,17591533,0,0.1759
TS_PASS_00020,296,39.40288964577521,2200000000.0,14.505428004253005,125000,13.529040685596588,0.0,7.351524340146311,20.804435101530274,5000000000,1318826,0,0.0003
